id,title,fr-CA,fr-CA_name
497285214,Redefining relationships in retirement,497286189,Repenser ses relations à la retraite
497286960,Retirement is more than working on your bucket list,497288409,"La retraite, bien plus qu’une liste des choses à faire dans sa vie"
497288958,Where will “home” be after you retire?,497289813,Qu’appellerez-vous « la maison » à la retraite?
498438741,Optimizing your RRSP strategy according to your career stage,498439329,Une stratégie REER optimale à chaque étape de votre carrière
498441438,Last-minute RRSP tips: What to do before the deadline,498695088,REER : conseils de dernière minute
504969212,Financial infidelity: How to stop the money lies,504972413,Infidélité financière : pour mettre fin aux mensonges financiers
504990260,Fraud prevention: Tips on protecting yourself from scammers,504991475,Prévention de la fraude : conseils pour vous protéger des fraudeurs
505980226,Claim your investment fees on your tax return,505983082,Déclaration de revenus : déduction pour frais de placement 
507426610,Your tax return: How to claim the home accessibility tax credit,507428647,Déclaration de revenus : comment profiter du crédit d’impôt pour l’accessibilité domiciliaire
510605623,5 tax tips you may not know about,646461040,Impôt : cinq conseils à garder en tête
523755076,Buying a home: 5 questions for physicians,525287200,Nouveaux médecins : cinq questions avant d’acheter votre maison
527361205,The ultimate guide to financing your medical school education,527377993,Le guide indispensable du financement des études de médecine
532669219,What physicians need to know about owning U.S. property,532670668,Ce que les médecins doivent savoir lorsqu’ils détiennent des biens immobiliers aux États-Unis
532674220,Are you taking the right vacations? How to make the most of your down time,532674457,Prenez-vous le genre de vacances qu’il vous faut? Profitez au maximum de vos congés
532678624,First-Time Home Buyer Incentive: What you need to know,532691431,L’Incitatif à l’achat d’une première propriété : ce qu’il faut savoir
537648247,Financing medical school and residency: Understanding your borrowing options,537651895,Comprendre les options d’emprunt pour financer vos études et votre résidence en médecine
542901733,Rent or buy: What to think about before you decide,542907421,Acheter ou louer : que faut-il considérer avant de prendre une décision?
544883440,What you need to know about government student grants and loans,544887088,Ce que vous devez savoir au sujet des prêts et bourses gouvernementaux
544894333,A parent's financial guide to paying for medical school,544897732,Payer des études en médecine : le guide du parent
545663182,How to conquer imposter syndrome in medical school and beyond,545663773,Vaincre le syndrome de l’imposteur dès les études de médecine
555543764,Should you agree to be someone’s executor?,555545300,Ce qu’il faut savoir avant d’accepter d’être liquidateur
556095233,Should you consider an individual pension plan?,558855201,Le régime de retraite individuel est-il la solution pour vous?
558257922,B.C. physicians: Are you leaving retirement savings on the table?,,
558259317,How to receive B.C. doctors’ CPRSP,,
558516336,Physicians in Quebec: Parental leave and benefits,543340864,Conjuguer médecine et bébé au Québec
558519132,Retirement planning for doctors: It's complicated,558519246,Planifier sa retraite comme médecin : une tâche complexe?
558922032,Anxious about retirement? Three small steps to get your retirement plan up and running,558934845,La retraite vous rend anxieux? Voici trois mesures à prendre pour établir un plan de retraite
560479698,Five tips to get retirement ready,560481444,Cinq conseils pour préparer votre retraite
562619121,How to boost your credit score: A primer,562890693,Comment améliorer sa cote de crédit : notions de base
564181884,How to avoid double taxation on your corporation in Canada,564183056,Éviter la double imposition de votre société au Canada
565034166,Crafting your next chapter: Pursuing a fulfilling retirement,565034208,Vers un nouveau chapitre : se préparer pour une retraite épanouissante
565705778,"Post-divorce, a physician mom adjusts her family-friendly plan",,
569418064,"Transition to practice: “You’re welcome, future self!”",569418284,"La transition vers la pratique, ou l’importance de vous y prendre d’avance "
570466436,How to budget using the burrito exchange rate,570691728,Calculer son budget en dollars burritos
575038854,Top 7 things that physicians need to know about RRSPs,575041086,Les sept choses à retenir concernant les REER
576512908,Three key findings about financial literacy and Canadian doctors-in-training,576738236,Trois grandes constatations sur la culture financière des médecins canadiens en formation
576514214,Three key findings about Canadian physicians and financial literacy,576526598,Trois grandes constatations sur la culture financière des médecins canadiens 
578709478,The dos and don’ts of financial planning for locums,578715046,Planification financière du médecin remplaçant au Québec : Choses à faire et choses à éviter
578751442,Managing how much tax comes off your residency paycheque,578752120,Gérer les retenues d’impôt sur votre paie de médecin résident
578753006,Getting serious? 5 money questions to discuss with your new life partner,578753874,Vous envisagez la vie commune?  5 questions d’argent à aborder avec votre nouveau conjoint
578960276,Should you reorganize your debt?,578960696,Devriez-vous consolider vos dettes?
580161996,What are the 3 types of insurance for homeowners?,580162240,Quels sont les trois types d’assurances pour propriétaires?
581986899,How does incorporating help with taxes?,589019166,En quoi la constitution en société est-elle avantageuse sur le plan fiscal?
582892176,Managing debt: What should a resident physician pay off first?,582892593,Médecins résidents et dettes : quoi rembourser en premier?
588355047,6 mistakes to avoid with your RRSP,588356172,Six erreurs à éviter avec votre REER
588363819,Should you contribute to a spousal RRSP?,588364281,Devriez-vous cotiser  à un REER au profit de votre conjoint?
591613638,Why TFSAs are a good option for incorporated physicians,591615195,Le CELI : un choix judicieux pour les médecins exerçant en société
591956766,Maternity and parental leave: Things every resident should know,591957033,Congé de maternité et congé parental : ce que toute résidente en médecine devrait savoir
593762802,Should I contribute to an RRSP or TFSA?,593771559,Devrais-je cotiser à un REER ou à un CELI?
599692524,Why you don’t want to die without a will,599703489,Cinq bonnes raisons de faire son testament
599778117,My spouse has a six-figure debt. Should we keep our finances separate?,599779770,Mon conjoint a une dette de plus de 100 000 $. Devrions-nous gérer nos finances chacun de notre côté?
600059490,I’m an executor for a physician. How do I deal with their corporation?,600061239,Je suis liquidateur pour un médecin. Que dois-je faire avec sa société?
602232855,How to use income splitting to keep more of your money,602234637,Fractionner son revenu pour en conserver une plus grande partie
603719721,How to minimize taxes when transferring your wealth,603721461,Transférer son patrimoine sans trop donner à l’impôt
604304982,My spouse is a physician. How can we reduce our tax burden?,604306407,Votre conjoint est médecin? Stratégies pour réduire votre fardeau fiscal
605499414,I’m a shareholder in a physician’s corporation. What does that mean for me?,605523969,Je suis actionnaire d’une société médicale. Qu’est-ce que cela signifie pour moi?
606760275,Staying in control: How to avoid emotional investing,606770850,Placements et émotions : comment garder la tête froide
606860589,Want to transfer assets to your children now? Avoid these 5 costly mistakes,606861093,Transfert de biens à vos enfants de votre vivant : cinq erreurs coûteuses à éviter
607581504,What does the COVID-19 market shock mean for retiring or retired physicians?,607583460,COVID-19 et choc boursier : les répercussions pour les médecins retraités ou près de la retraite
608151645,COVID-19 support measures: At a glance,608264301,COVID-19 : tour d’horizon des mesures d’aide financière
609218532,COVID-19: Strategies for physicians facing reduced cash flow,609222708,COVID-19 : stratégies pour les médecins en manque de liquidités
609682887,Which debt should you pay first during the COVID-19 crisis?,609683310,Rembourser ses dettes à l’heure de la COVID-19 : par quoi commencer?
609686163,COVID-19 financial support: What do Canadian physicians qualify for?,609794124,Aide financière liée à la COVID-19 : à quoi les médecins canadiens ont-ils droit?
609935802,COVID-19 brings estate planning to the forefront,609938496,La planification successorale propulsée au premier plan par la COVID-19
611514261,Working more because of COVID-19? Things to think about with the jump in earnings,611738031,Vous travaillez plus à cause de la COVID-19? Points à considérer concernant la hausse de vos revenus
612459354,Estate planning checklist: Everything you need to know,612618936,Liste de contrôle pour votre plan successoral : tout ce que vous devez savoir
613452324,Home office expenses: You could save on taxes if you worked remotely,613584591,Frais de bureau à domicile : Vous pourriez économiser de l’impôt grâce au télétravail
614423847,Are you rethinking risk in these turbulent times?,614426667,Réévaluez-vous le risque en cette période difficile?
615149937,Canada Emergency Wage Subsidy: What physicians in group practices need to know,615260712,Subvention salariale d’urgence du Canada : ce que les médecins qui exercent en groupe doivent savoir
615823455,5 questions about creating an emergency fund during the COVID-19 pandemic,615825291,Cinq questions sur la création d’un fonds d’urgence pendant la pandémie de COVID-19
616004163,Should you dissolve your medical practice corporation when you retire?,617192246,Qu’arrivera-t-il à ma société médicale professionnelle lorsque je prendrai ma retraite?
616669139,"CERB, CEWS and CEBA: Top 15 questions from physicians",616761293,"PCU, SSUC et CUEC : 15 principales questions des médecins"
617440424,How to talk to your children about their inheritance,617444462,Parler avec ses enfants de leur héritage
618346322,How to repair your retirement plan after COVID-19,618348101,Comment revoir son plan de retraite après la COVID-19
618363083,Mortgage default insurance: What homebuyers need to know,618441239,Assurance prêt hypothécaire : ce que les acheteurs de maison doivent savoir
619594478,"Planned charitable gifts: What you can donate, and the tax benefits",619595405,"Dons de bienfaisance planifiés : vos options, et les économies d’impôt"
619971542,The Kaminsky Family: Transferring their wealth tax-effectively,619974725,La famille Kaminsky : transfert de succession et optimisation fiscale
619976432,The Moldenhauer Family: Optimizing taxes and protecting their wealth,619976765,La famille Métivier : Optimisation des impôts et protection du patrimoine
620053043,Meeting with an MD Advisor: What to expect,620349083,Quoi attendre d’une rencontre avec votre conseiller MD?
620725553,Should you include a trust for your children in your will?,620741342,Votre testament devrait-il prévoir la création d’une fiducie pour vos enfants?
621193748,Alberta physicians: Relaunch grant and lower corporate tax rate,,
621431003,The Plante Family: Drawing retirement income while minimizing taxes,621431729,La famille Plante-LeBlanc : retrait de revenus de retraite et optimisation fiscale
622399907,"Should you join a practice or start your own? The good, the bad and the cost impact",622401998,"Ouvrir sa propre clinique ou se joindre à une clinique existante : avantages, inconvénients et coûts"
622711226,Explainer: Changes to the Canada Emergency Wage Subsidy,623426183,Les changements à la Subvention salariale d’urgence du Canada expliqués
622711994,Mortgage options: What savvy homebuyers need to know,622712279,Notions hypothécaires indispensables pour l’acheteur de maison avisé
623551322,5 common questions about life insurance,623552126,Cinq questions courantes au sujet de l’assurance vie
624763676,Investing regularly: The power of a pre-authorized contribution plan,624772595,Investir régulièrement : le secret des cotisations automatiques
625690943,Med student line of credit: What happens after graduation?,625691612,Ligne de crédit pour étudiants en médecine : qu’advient-il après l’obtention du diplôme?
626267900,Passing down the family cottage,626268383,Transmettre le chalet familial
626749472,Salary or dividends: How to pay yourself from your corporation,626749832,Exercice en société et rémunération : salaire ou dividendes?
627833348,Should you use income splitting to optimize your family’s tax bill? Consider a prescribed rate loan,627835502,Un prêt à taux prescrit pour alléger le fardeau fiscal familial?
630734339,How spousal RRSPs help with tax savings in retirement,630735176,Le REER de conjoint pour économiser de l’impôt à la retraite
630924815,The ultimate guide to estate planning for Canadian physicians,630928859,Le guide indispensable de la planification successorale pour les médecins
631466804,Executors 101: Choosing an executor to administer your estate,631467806,Choisir un liquidateur pour régler votre succession : notions de base
631977205,4 things life insurance can do for incorporated physicians,631977841,Les quatre avantages de l’assurance vie pour le médecin incorporé
632842627,Your medical student line of credit: What you need to know,632842702,Marge de crédit pour étudiants en médecine : ce que vous devez savoir
633794959,10 money habits to help you budget better through med school,633797623,Dix habitudes pour améliorer la gestion de votre budget d’étudiant
635011657,Converting your RRSP to a RRIF,635132701,Conversion du REER en FERR
635013364,Transition to practice: 6 expenses to prepare for,635137210,Transition vers la pratique : six dépenses à prévoir
635987332,Physicians and divorce: How to prepare financially,636000592,Aspects financiers du divorce chez les médecins
638139877,How to ‘divorce-proof’ your child’s inheritance,638140966,Comment protéger l’héritage de votre enfant contre un éventuel divorce
638943118,2020 was different: Is your financial planning strategy still appropriate?,638981779,Votre stratégie de planification financière convient-elle toujours?
639082996,4 reasons to consolidate your RRSPs,639084610,Quatre raisons de consolider vos REER
639578131,A financial plan for the New Year that won’t overwhelm you,639578887,Nouvelle année : un plan financier qui ne vous submergera pas
639720805,How much does a medical resident make in Canada?,639723481,Combien gagnent les médecins résidents au Canada?
639748453,Donor advised funds: A win-win for you and your charities,639749656,Fonds à vocation arrêtée : une solution gagnante pour tous
639861403,Tax planning in a pandemic: How to adjust for 2021,639862312,Planification fiscale en temps de pandémie : ajustements pour 2021
639864130,Student line of credit: Can you use it for more than school expenses?,639866269,La marge de crédit pour étudiants : seulement pour les dépenses d’études?
640180573,DIY investing: What kind of do-it-yourself investor are you?,640181008,Investir par soi-même : quel genre d’investisseur autonome êtes-vous?
641026945,Top questions about powers of attorney for personal care and property,641027497,La procuration en quelques questions
641736889,10 signs it’s time to catch up on your TFSA contributions,641744206,Cotisations CELI : dix indices que c’est l’heure de vous rattraper
642093007,Disability insurance for Canadian physicians: What you need to know,642093364,Assurance invalidité pour les médecins canadiens : ce que vous devez savoir
645352759,Pandemic fallout: Does your retirement plan need a reset?,645392335,COVID-19 : devriez-vous revoir votre plan de retraite?
645881776,TFSAs and RRSPs: What incorporated doctors need to know,645988504,REER et CELI : ce que les médecins exerçant en société doivent savoir
646006831,New trust reporting rules: What you need to know,646115212,Nouvelles règles de déclaration des fiducies : Ce que vous devez savoir
646017559,Tax tips for resident physicians,646363975,Conseils fiscaux à l’intention des médecins résidents
646020187,Tax tips for physicians,646358335,Conseils fiscaux à l’intention des médecins
646332031,Tax tips for retired physicians,646365142,Conseils fiscaux à l’intention des médecins à la retraite
646339201,Tax tips for medical students,646366360,Conseils fiscaux à l’intention des étudiants en médecine
647206426,How financial literacy can help reduce physician burnout,647244511,Les connaissances financières pour prévenir l’épuisement professionnel
647802295,6 tax deductions and credits for medical students,647802676,Six déductions fiscales et crédits d’impôt à la portée des étudiants en médecine
647893663,7 tax deductions and credits for resident physicians,647900218,Sept déductions fiscales et crédits d’impôt pour les médecins résidents
649119364,Medical students’ biggest money questions,,
649287428,RESPs: What’s the best contribution strategy for my family?,649288040,REEE : quelle est la meilleure stratégie de cotisation pour ma famille?
650120044,DIY investing: How to avoid common mistakes and achieve success,650120641,Placements autogérés : Comment éviter de commettre des erreurs courantes et assurer sa réussite financière
650436655,It’s all tax-free — until it isn’t! 8 costly mistakes to avoid with your TFSA,650458696,"CELI : Libre d’impôt, mais attention à huit erreurs coûteuses!"
650747785,Capital gains surplus stripping: What Canada's physicians need to know,650748457,Dépouillement de surplus : ce que doivent savoir les médecins du Canada
651103924,Virtual care: Why secure messaging is a critical tool to effectively deliver health care,651706954,Soins de santé virtuels : pourquoi la messagerie sécurisée est un incontournable
652924675,5 myths about robo advisors,653050885,Cinq mythes sur les conseillers automatisés
653049868,Investing with robo advisors: What to expect,653124490,Placements et conseillers automatisés : à quoi vous attendre
653517433,Buying a home during residency,653517892,Acheter une propriété pendant sa résidence
653520124,CEBA: Physicians’ questions about the loan,653521486,CUEC : Questions des médecins à propos du prêt
654285874,How to withdraw funds tax-efficiently in retirement,654416422,Revenus de retraite : stratégies pour ne pas trop en laisser à l’impôt
654530290,Our physician household owes taxes — now what?,654531511,En couple avec un médecin… et on doit de l’impôt
656243917,Tax deductions: What self-employed physicians can claim,656244964,Déductions fiscales : à quoi ont droit les médecins travailleurs autonomes?
657957896,When should I take my CPP retirement benefits?,658017299,Quand devrais-je commencer à encaisser mes prestations de retraite?
658288877,How much do doctors make in Canada?,658611407,Combien gagnent les médecins au Canada?
658488476,Tears and tenacity: a mom in med school,658604339,Larmes et ténacité : une maman étudiante en médecine
659225147,How finances are different when your spouse is a physician,659226872,En quoi les finances diffèrent lorsqu’on a un conjoint médecin
659302523,Beneficiary designation and how it can benefit your estate plan,659303447,La désignation de bénéficiaires et ses avantages en planification successorale
659312102,Performance excellence in challenging times,,
659854979,How does medical practice incorporation work?,662278667,Les rouages de la constitution en société pour les médecins
660381137,Visa options: Are you a Canadian going to the United States for a fellowship?,660382805,Fellowship aux États-Unis : options de visa pour les stagiaires canadiens
660403757,How to manage the finances when your spouse is a physician,660404294,Gérer les finances quand son conjoint est médecin
661511897,Estate planning for incorporated physicians,665304851,La planification successorale pour les médecins exerçant en société
661605860,Make extra money during residency with medical moonlighting,661606994,Faire du moonlighting pour augmenter ses revenus pendant la résidence
661721612,The pension income tax credit: One benefit of opening a RRIF early,661722557,Crédit d’impôt pour revenu de pension : avantage de l’ouverture hâtive d’un FERR
662176622,Value of advice: “We’re new doctors — help us get out of debt!”,662466572,Valeur des conseils : « Nous sommes des médecins en début de carrière. Aidez-nous à nous désendetter! »
662177534,Value of advice: “I’m getting divorced. Will I have enough for retirement?”,662902994,Valeur des conseils : « Je divorce. Aurai-je assez d’argent pour financer ma retraite? »
662178164,Value of advice: When med school meets parenthood,663086368,Valeur des conseils : Étudier en médecine quand on est parent
664923527,Scholarship trust vs RESP: Which is the better way to save for a child’s post-secondary education?,664924013,REEE collectif ou REEE standard : Quelle est la meilleure façon d’épargner pour les études postsecondaires de mes enfants?
665168045,CaRMS timeline for medical students (2021-2022),665176460,Calendrier de CaRMS pour les étudiants en médecine (2021-2022)
665174468,Everything you need to know about CaRMS,475330436,Tout ce que vous devez savoir sur le CaRMS
665347262,Guide to retiring as an incorporated physician,667586549,Guide de la retraite pour les médecins exerçant en société
665585396,What happens to my RRSP in a divorce?,665585606,On divorce. Qu’adviendra-t-il de mon REER?
666964160,"Value of advice: “I’m a doctor, why don’t I have any money?”",667365944,La valeur des conseils : « Je suis médecin. Pourquoi n’ai-je pas plus d’argent? »
667018382,Study highlights physicians’ concerns about retirement planning,,
667409930,My physician spouse has died. What do I need to do?,667411445,Mon conjoint médecin est décédé… que dois-je faire?
430247058,MD Financial Management Signs the Principles for Responsible Investment,430557828,Gestion financière MD devient signataire des Principes pour l’investissement responsable
430247061,MD Financial Management and Canadian Federation of Medical Students Renew Partnership,430557831,Renouvellement du partenariat entre Gestion financière MD et la Fédération des étudiants et des étudiantes en médecine du Canada
430247064,MD Financial Suite: A new approach to wealth management for Canada’s physicians,430557834,La Sélection financière MD : une nouvelle approche de gestion de patrimoine pour les médecins canadiens
430247067,MD Financial Management Announces MD Platinum™,430557837,Gestion financière MD annonce le lancement de la bannière Platine MD
450213584,MD Launches New Series for MDPIM Emerging Markets Equity Pool,450213596,MD lance de nouvelles séries de parts du Fonds collectif d’actions de marchés émergents GPPMD
463950986,Facturation.net Joins the Purkinje Family of Companies,463951010,Facturation.net se joint au groupe Purkinje
464206919,MD Financial Management Recognized as One of the Achievers 50 Most Engaged Workplaces™ in North America,464208842,Gestion financière MD parmi les 50 milieux de travail les plus engagés en Amérique du Nord
482122199,MD’s Michelle Masson Winner of the 2018 Female Executive of the Year Award: Women in Wealth Management Awards,482123756,Michelle Masson de MD nommée dirigeante de l’année 2018 à la remise des prix Women in Wealth Management Awards
486641024,MD Financial Management Releases Year-End Income and Capital Gains Distributions,,
490196159,MD Financial Management Releases Year-End Income and Capital Gains Distributions,490196441,Gestion financière MD publie les distributions de revenus et de gains en capital de fin d’année
493294331,MD Financial Management Announces Launch of MD Precision Index Portfolios™,493294664,Gestion financière MD annonce le lancement des Portefeuilles indiciels Précision MD
505698796,MD Financial Management Inc. Proposes Changes to Two of Its Funds,505699684,Gestion financière MD inc. propose de modifier les objectifs de placement de deux de ses fonds
507123553,$1.6 Million Contribution to Support Pan-Provincial Physician Wellness Initiatives with Well Doc Alberta,,
513837016,"MD Financial Management, in collaboration with Scotiabank, announces new series of funding to address physician wellness",514100857,"En collaboration avec la Banque Scotia, Gestion financière MD annonce des mesures financières pour favoriser le bien-être des médecins"
516418843,MD Financial Management Inc. Announces Changes to Two of Its Funds,516420544,Gestion financière MD inc. modifie les objectifs de placement de deux de ses fonds
527970457,New study: Physicians with retirement plans far outpace their peers on savings,527975410,Nouvelle enquête : les médecins qui ont un plan pour la retraite devancent largement leurs confrères du point de vue de l’épargne
532285594,MD Financial Management Announces Investment Adviser Changes and Reduction in Annual Fees for Physicians and Their Families,430557996,Gestion financière MD annonce une réduction de ses frais de gestion
532380571,MD Financial Management Announces MD Stable Income Fund Fee Reduction,532382905,Gestion financière MD réduira les frais du Fonds de revenu stable MD
543499726,Desjardins breach does not affect MD Financial Management,,
543557473,"Scotiabank, MD Financial Management, and the Canadian Medical Association announce $3.58 million to support family medicine",,
564632014,Proud to Thank Canada’s Physicians for 50 Remarkable Years,564633240,Fiers de pouvoir dire merci aux médecins du Canada pour 50 années remarquables
576040332,New survey finds physicians stressed but eager to learn about financial priorities,576044596,"Les médecins stressés par les questions financières, mais désireux d’apprendre"
606887838,Here to support you during COVID-19,606898512,MD est là pour vous soutenir pendant la pandémie de COVID-19
610498617,"Scotiabank, CMA and MD Financial Management back Code Life Ventilator Challenge",,
612353631,"Scotiabank, CMA and MD Financial Management commit further support to physicians during the COVID-19 pandemic",610608042,"La Banque Scotia, l’AMC et Gestion financière MD soutiennent le Défi Respirateur Code Vie"
612462105,In session during COVID-19: Our second MD Physician Council meeting,612598299,Le Conseil des médecins de MD tient sa deuxième réunion à l’heure de la COVID-19
617995568,"CMA, in collaboration with Scotiabank and MD Financial Management, launch new Wellness Support Line to help Canadian physicians",617995946,"L’AMC, en collaboration avec la Banque Scotia et Gestion financière MD, lance une ligne de soutien pour aider les médecins et les apprenants"
618303716,"MD’s commitment to Black Lives Matter, diversity, equality and inclusion",618346325,"L’engagement de MD à l’égard du mouvement Black Lives Matter, de la diversité, de l’égalité et de l’inclusion"
619687037,MD Financial Management and Scotiabank collaborate with The Flipside Life  to support physicians’ spouses and families,619687076,Gestion financière MD et la Banque Scotia collaborent avec The Flipside Life pour soutenir les conjoints et les familles de médecins
620594489,MD Physician Council explores COVID’s impact on profession,620886476,Le Conseil des médecins de MD explore les répercussions de la COVID-19 sur la profession
629861927,MD Financial Management and Scotiabank announce new collaboration with Northern Ontario School of Medicine,629863625,Gestion financière MD et la Banque Scotia annoncent une entente de collaboration avec l’École de médecine du Nord de l’Ontario
632118529,Majority of Canadians believe COVID-19 pandemic has transformed health care system in Canada,632118862,La majorité des Canadiens sont d’avis que la pandémie de COVID-19 a transformé le système de santé au Canada 
636526579,MD Physician Council explores financial literacy,,
644398483,MD Financial Management and Scotiabank Announce Collaboration with  Federation of Medical Women of Canada,644398723,Gestion financière MD et la Banque Scotia annoncent la conclusion d’un partenariat avec la Fédération des femmes médecins du Canada 
645043405,MD Physician Council looks ahead in early 2021,,
648561739,MD Financial Management expands private asset solutions for physicians,648562198,Gestion financière MD ajoute à sa gamme de solutions de placements privés pour les médecins
648619435,"Scotiabank, MD and the Canadian Medical Association announce $1 million to support the Black Physicians’ Association of Ontario",648620764,"La Banque Scotia, MD et l’AMC annoncent un financement d’un million de dollars pour appuyer l’Association des médecins noirs de l’Ontario"
654611335,"Financial resources to support you when, where you need them",,
657057190,MD Financial Management Inc. appoints new asset manager,657057811,Gestion financière MD inc. désigne un nouveau gestionnaire de fonds
657943349,MD statement on the discovery of the remains of 215 Indigenous children at former Kamloops residential school,658017614,Déclaration sur la découverte des restes de 215 enfants sur le site d’un ancien pensionnat autochtone à Kamloops
663683224,Scotiabank and MD Financial Management Inc. partner with the Society of Obstetricians and Gynaecologists of Canada,663685879,La Banque Scotia et Gestion financière MD inc. font équipe avec la Société des obstétriciens et gynécologues du Canada
664828144,"New partnership supports professional development,  brings financial resources to anesthesiologists",665483453,Un nouveau partenariat pour soutenir les anesthésiologistes 
665873294,"As physician burnout persists in Canada, we mustn’t lose sight of COVID’s impact on healthcare professionals",665923784,Impact de la COVID sur les professionnels de la santé : l’épuisement professionnel perdure chez les médecins 
430248144,Mortgage stress test: The rules for Canadian homebuyers,430558623,Simulation de crise : règles applicables aux acheteurs de maison au Canada
500213886,Introducing the MD Physician Council,,
518572780,The Bank of Canada is unlikely to raise rates any time soon,,
527741317,Five key findings about how Canadian physicians are preparing for retirement,,
533141926,Not all digital investing platforms are made equal,,
541426057,"How saying ""no"" to single-use plastics may bring opportunities to investors",,
542202523,"Concerns about slowing U.S., Canada economy are valid but overdone",,
543580729,The Bank of Canada holds rates amidst trade tension worries,,
544899442,Why it's not time to go for the gold: Physical gold has outperformed but gold stocks have not,,
546224242,From Teslas to lawnmowers: why batteries should be part of your portfolio,,
547313390,Why I am not turning bearish on the U.S. dollar and the euro,,
547927592,U.S. Federal Reserve rate cut takes us back to 1998,,
551831501,Announcing the members of the inaugural MD Physician Council,,
555874685,Why we're investing in the business of travel,,
558572259,Why Canada could be a good hedge for investors believing a global recession looms,,
558863073,"Forget trade wars, welcome to the chicken sandwich wars",,
559796745,"The Bank of Canada holds rates steady, citing world trade concerns",,
560986890,"In the news: Lower market liquidity and higher volatility, what does this mean for investors?",,
562894860,Seeking yield: Dividend equities are no substitute for bonds,,
563251143,Divided Federal Open Market Committee cuts target rate,,
565055810,Drone attacks on Saudi Arabia shake up oil supply and demand,,
